"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-10T08:00:00.000Z","210.65","210.65","210.10","210.20","-0.2468","-0.2515","13,536"
"2025-07-10T08:30:00.000Z","210.18","210.40","210.18","210.24","0.0190","0.0143","4,044"
"2025-07-10T09:00:00.000Z","210.26","210.40","209.92","209.97","-0.1284","-0.1331","10,303"
"2025-07-10T09:30:00.000Z","210.04","210.04","209.62","209.72","-0.1191","-0.1238","14,470"
"2025-07-10T10:00:00.000Z","209.71","209.92","209.70","209.80","0.0381","0.0334","1,963"
"2025-07-10T10:30:00.000Z","209.85","210.00","209.80","210.00","0.0953","0.0906","4,282"
"2025-07-10T11:00:00.000Z","209.87","210.10","209.85","210.02","0.0095","0.0048","12,040"
"2025-07-10T11:30:00.000Z","210.05","210.26","210.02","210.12","0.0476","0.0429","9,716"
"2025-07-10T12:00:00.000Z","209.95","210.61","209.64","210.18","0.0286","0.0238","95,741"
"2025-07-10T12:30:00.000Z","210.20","210.26","209.81","209.99","-0.0904","-0.0951","41,364"
"2025-07-10T13:00:00.000Z","210.03","210.60","209.85","210.50","0.2429","0.2382","79,058"
"2025-07-10T13:30:00.000Z","210.44","211.29","210.03","211.28","0.3682","0.3635","3,953,262"
"2025-07-10T14:00:00.000Z","211.27","212.30","210.71","212.01","0.3479","0.3432","3,250,132"
"2025-07-10T14:30:00.000Z","212.02","213.48","211.90","212.36","0.1651","0.1604","4,675,581"
"2025-07-10T15:00:00.000Z","212.37","213.32","212.31","212.99","0.2967","0.2920","2,459,170"
"2025-07-10T15:30:00.000Z","212.99","213.18","212.23","212.39","-0.2817","-0.2864","1,855,796"
"2025-07-10T16:00:00.000Z","212.38","212.40","211.83","212.08","-0.1460","-0.1507","1,775,359"
"2025-07-10T16:30:00.000Z","212.07","212.36","211.85","212.02","-0.0295","-0.0342","1,398,732"
"2025-07-10T17:00:00.000Z","212.02","212.78","211.93","212.62","0.2842","0.2795","1,274,443"
"2025-07-10T17:30:00.000Z","212.61","213.16","212.37","212.37","-0.1171","-0.1218","1,283,182"
"2025-07-10T18:00:00.000Z","212.39","213.00","212.31","212.60","0.1078","0.1031","1,029,453"
"2025-07-10T18:30:00.000Z","212.59","213.14","212.57","212.94","0.1576","0.1529","1,069,166"
"2025-07-10T19:00:00.000Z","212.92","213.45","212.57","212.57","-0.1691","-0.1738","1,438,951"
"2025-07-10T19:30:00.000Z","212.58","213.02","212.05","212.44","-0.0635","-0.0682","2,960,287"
"2025-07-10T20:00:00.000Z","212.41","212.44","212.11","212.30","-0.0659","-0.0706","5,693,884"
"2025-07-10T20:30:00.000Z","212.30","212.44","212.21","212.22","-0.0377","-0.0424","21,483"
"2025-07-10T21:00:00.000Z","212.23","212.35","212.15","212.15","-0.0330","-0.0377","15,213"
"2025-07-10T21:30:00.000Z","212.29","212.29","212.05","212.22","0.0330","0.0283","17,566"
"2025-07-10T22:00:00.000Z","212.25","212.35","212.25","212.31","0.0424","0.0377","6,783"
"2025-07-10T22:30:00.000Z","212.30","212.35","212.30","212.31","","-0.0047","12,407"
"2025-07-10T23:00:00.000Z","212.32","212.38","212.30","212.34","0.0148","0.0101","3,306"
"2025-07-10T23:30:00.000Z","212.37","212.50","212.34","212.50","0.0746","0.0699","12,374"
