"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-31T13:30:00.000Z","208.49","208.83","208.10","208.22","-0.3827","-0.3786","1,149,010"
"2025-07-31T13:31:00.000Z","208.26","208.37","207.82","208.34","0.0552","0.0594","364,162"
"2025-07-31T13:32:00.000Z","208.33","208.65","208.10","208.34","","0.0041","208,995"
"2025-07-31T13:33:00.000Z","208.31","208.80","208.21","208.80","0.2232","0.2273","166,616"
"2025-07-31T13:34:00.000Z","208.78","208.91","208.70","208.73","-0.0335","-0.0294","155,429"
"2025-07-31T13:35:00.000Z","208.72","208.82","208.30","208.31","-0.2012","-0.1971","203,144"
"2025-07-31T13:36:00.000Z","208.33","209.31","208.25","209.27","0.4609","0.4650","217,622"
"2025-07-31T13:37:00.000Z","209.28","209.45","208.85","208.88","-0.1864","-0.1822","206,504"
"2025-07-31T13:38:00.000Z","208.88","208.99","208.60","208.73","-0.0718","-0.0677","129,601"
"2025-07-31T13:39:00.000Z","208.74","208.98","208.66","208.91","0.0862","0.0904","114,044"
"2025-07-31T13:40:00.000Z","208.91","208.91","208.54","208.56","-0.1696","-0.1655","204,260"
"2025-07-31T13:41:00.000Z","208.56","208.89","208.45","208.89","0.1603","0.1644","129,572"
"2025-07-31T13:42:00.000Z","208.89","209.00","208.87","208.98","0.0431","0.0472","91,426"
"2025-07-31T13:43:00.000Z","208.97","209.02","208.68","208.84","-0.0670","-0.0628","109,841"
"2025-07-31T13:44:00.000Z","208.85","209.01","208.84","208.94","0.0479","0.0520","150,463"
"2025-07-31T13:45:00.000Z","208.93","209.03","208.37","208.66","-0.1364","-0.1323","188,321"
"2025-07-31T13:46:00.000Z","208.64","208.84","208.51","208.80","0.0695","0.0736","117,253"
"2025-07-31T13:47:00.000Z","208.81","208.83","208.42","208.58","-0.1054","-0.1012","105,061"
"2025-07-31T13:48:00.000Z","208.57","208.70","208.40","208.50","-0.0384","-0.0342","79,341"
"2025-07-31T13:49:00.000Z","208.48","208.69","208.48","208.68","0.0839","0.0881","92,671"
"2025-07-31T13:50:00.000Z","208.70","208.84","208.63","208.78","0.0503","0.0545","133,648"
"2025-07-31T13:51:00.000Z","208.78","209.02","208.69","208.97","0.0886","0.0928","103,015"
"2025-07-31T13:52:00.000Z","208.96","209.05","208.86","208.95","-0.0066","-0.0024","97,434"
"2025-07-31T13:53:00.000Z","208.96","208.98","208.81","208.94","-0.0078","-0.0037","86,305"
"2025-07-31T13:54:00.000Z","208.94","208.99","208.83","208.94","0.0024","0.0065","73,008"
"2025-07-31T13:55:00.000Z","208.91","208.93","208.60","208.74","-0.0934","-0.0893","130,065"
"2025-07-31T13:56:00.000Z","208.76","209.09","208.51","209.02","0.1306","0.1347","127,848"
"2025-07-31T13:57:00.000Z","209.02","209.04","208.71","208.73","-0.1375","-0.1334","100,217"
"2025-07-31T13:58:00.000Z","208.71","208.79","208.65","208.68","-0.0240","-0.0198","93,313"
"2025-07-31T13:59:00.000Z","208.66","208.69","208.42","208.47","-0.1006","-0.0965","119,115"
"2025-07-31T14:00:00.000Z","208.44","208.66","208.37","208.43","-0.0192","-0.0150","118,008"
"2025-07-31T14:01:00.000Z","208.42","208.69","208.41","208.61","0.0864","0.0905","74,198"
"2025-07-31T14:02:00.000Z","208.62","208.62","208.37","208.53","-0.0407","-0.0366","78,826"
"2025-07-31T14:03:00.000Z","208.53","208.90","208.51","208.89","0.1750","0.1792","103,966"
"2025-07-31T14:04:00.000Z","208.88","209.00","208.64","208.66","-0.1125","-0.1084","88,568"
"2025-07-31T14:05:00.000Z","208.64","208.71","208.55","208.59","-0.0335","-0.0294","65,022"
"2025-07-31T14:06:00.000Z","208.59","208.93","208.53","208.93","0.1654","0.1695","105,930"
"2025-07-31T14:07:00.000Z","208.93","208.97","208.72","208.80","-0.0622","-0.0581","100,850"
"2025-07-31T14:08:00.000Z","208.77","208.96","208.75","208.88","0.0383","0.0425","74,707"
"2025-07-31T14:09:00.000Z","208.87","208.88","208.71","208.80","-0.0383","-0.0342","96,145"
"2025-07-31T14:10:00.000Z","208.79","208.97","208.75","208.82","0.0120","0.0161","94,899"
"2025-07-31T14:11:00.000Z","208.83","209.09","208.71","208.90","0.0358","0.0400","170,296"
"2025-07-31T14:12:00.000Z","208.91","209.03","208.74","208.98","0.0384","0.0425","75,416"
"2025-07-31T14:13:00.000Z","208.98","209.54","208.97","209.54","0.2680","0.2721","149,832"
"2025-07-31T14:14:00.000Z","209.55","209.62","209.37","209.49","-0.0239","-0.0197","107,226"
"2025-07-31T14:15:00.000Z","209.49","209.56","209.41","209.43","-0.0310","-0.0269","99,651"
"2025-07-31T14:16:00.000Z","209.43","209.47","209.14","209.14","-0.1359","-0.1318","75,622"
"2025-07-31T14:17:00.000Z","209.14","209.44","209.11","209.43","0.1385","0.1426","90,627"
"2025-07-31T14:18:00.000Z","209.43","209.56","209.37","209.50","0.0310","0.0352","106,005"
"2025-07-31T14:19:00.000Z","209.50","209.68","209.50","209.57","0.0358","0.0399","141,068"
"2025-07-31T14:20:00.000Z","209.57","209.58","209.07","209.08","-0.2350","-0.2308","90,062"
"2025-07-31T14:21:00.000Z","209.08","209.11","208.91","208.91","-0.0802","-0.0760","78,126"
"2025-07-31T14:22:00.000Z","208.91","209.04","208.82","208.90","-0.0033","0.0009","77,551"
"2025-07-31T14:23:00.000Z","208.91","209.15","208.91","209.07","0.0822","0.0864","51,432"
"2025-07-31T14:24:00.000Z","209.07","209.21","208.99","209.07","-0.0024","0.0018","62,459"
"2025-07-31T14:25:00.000Z","209.03","209.19","208.99","209.12","0.0239","0.0281","86,858"
