"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-22T08:00:00.000Z","212.88","212.88","212.41","212.41","-0.1223","-0.1225","837"
"2025-07-22T08:02:00.000Z","212.55","212.65","212.51","212.65","0.1130","0.1128","567"
"2025-07-22T08:03:00.000Z","212.60","212.60","212.60","212.60","-0.0235","-0.0237","374"
"2025-07-22T08:08:00.000Z","212.52","212.52","212.52","212.52","-0.0376","-0.0379","100"
"2025-07-22T08:09:00.000Z","212.50","212.50","212.50","212.50","-0.0094","-0.0096","140"
"2025-07-22T08:15:00.000Z","212.59","212.59","212.58","212.58","0.0376","0.0374","200"
"2025-07-22T08:16:00.000Z","212.58","212.59","212.58","212.59","0.0047","0.0045","350"
"2025-07-22T08:19:00.000Z","212.66","212.66","212.66","212.66","0.0329","0.0327","100"
"2025-07-22T08:20:00.000Z","212.67","212.67","212.67","212.67","0.0047","0.0045","100"
"2025-07-22T08:22:00.000Z","212.55","212.55","212.55","212.55","-0.0564","-0.0566","168"
"2025-07-22T08:23:00.000Z","212.51","212.60","212.51","212.60","0.0235","0.0233","400"
"2025-07-22T08:24:00.000Z","212.52","212.60","212.50","212.50","-0.0470","-0.0473","918"
"2025-07-22T08:25:00.000Z","212.60","212.60","212.50","212.50","","-0.0002","1,378"
"2025-07-22T08:26:00.000Z","212.60","212.60","212.60","212.60","0.0471","0.0468","474"
"2025-07-22T08:30:00.000Z","212.57","212.60","212.57","212.60","","-0.0002","790"
"2025-07-22T08:32:00.000Z","212.57","212.57","212.57","212.57","-0.0141","-0.0143","441"
"2025-07-22T08:37:00.000Z","212.62","212.65","212.62","212.65","0.0376","0.0374","241"
"2025-07-22T08:41:00.000Z","212.70","212.70","212.68","212.70","0.0235","0.0233","674"
"2025-07-22T08:45:00.000Z","212.65","212.65","212.65","212.65","-0.0235","-0.0237","141"
"2025-07-22T08:47:00.000Z","212.65","212.68","212.65","212.68","0.0141","0.0139","661"
"2025-07-22T08:50:00.000Z","212.80","212.80","212.80","212.80","0.0564","0.0562","425"
"2025-07-22T08:51:00.000Z","212.89","212.89","212.89","212.89","0.0423","0.0421","100"
"2025-07-22T08:52:00.000Z","212.89","212.95","212.89","212.95","0.0282","0.0280","423"
"2025-07-22T08:53:00.000Z","212.95","212.96","212.85","212.85","-0.0470","-0.0472","673"
"2025-07-22T08:56:00.000Z","212.82","212.82","212.82","212.82","-0.0141","-0.0143","112"
"2025-07-22T08:57:00.000Z","212.80","212.80","212.80","212.80","-0.0094","-0.0096","1,043"
"2025-07-22T09:00:00.000Z","212.80","212.80","212.80","212.80","","-0.0002","459"
"2025-07-22T09:01:00.000Z","212.80","212.80","212.80","212.80","","-0.0002","680"
"2025-07-22T09:03:00.000Z","212.84","212.84","212.84","212.84","0.0188","0.0186","100"
"2025-07-22T09:08:00.000Z","212.79","212.79","212.79","212.79","-0.0235","-0.0237","100"
"2025-07-22T09:09:00.000Z","212.80","212.80","212.80","212.80","0.0047","0.0045","146"
"2025-07-22T09:10:00.000Z","212.82","212.82","212.82","212.82","0.0094","0.0092","237"
"2025-07-22T09:12:00.000Z","212.80","212.80","212.80","212.80","-0.0094","-0.0096","1,261"
"2025-07-22T09:15:00.000Z","212.89","212.93","212.89","212.93","0.0611","0.0609","564"
"2025-07-22T09:16:00.000Z","212.95","212.95","212.91","212.91","-0.0094","-0.0096","711"
"2025-07-22T09:18:00.000Z","212.91","212.91","212.91","212.91","","-0.0002","150"
"2025-07-22T09:19:00.000Z","212.89","212.89","212.87","212.87","-0.0188","-0.0190","2,153"
"2025-07-22T09:20:00.000Z","212.87","212.87","212.87","212.87","","-0.0002","114"
"2025-07-22T09:23:00.000Z","212.89","212.89","212.89","212.89","0.0094","0.0092","200"
"2025-07-22T09:27:00.000Z","212.95","212.95","212.95","212.95","0.0282","0.0280","100"
"2025-07-22T09:28:00.000Z","213.00","213.00","213.00","213.00","0.0235","0.0233","501"
"2025-07-22T09:29:00.000Z","212.95","212.95","212.91","212.91","-0.0423","-0.0425","202"
"2025-07-22T09:32:00.000Z","212.94","212.95","212.94","212.95","0.0188","0.0186","200"
"2025-07-22T09:33:00.000Z","213.00","213.00","213.00","213.00","0.0235","0.0233","121"
"2025-07-22T09:35:00.000Z","213.04","213.04","213.04","213.04","0.0188","0.0186","100"
"2025-07-22T09:39:00.000Z","213.03","213.03","213.03","213.03","-0.0047","-0.0049","100"
"2025-07-22T09:41:00.000Z","212.95","212.95","212.95","212.95","-0.0376","-0.0378","155"
"2025-07-22T09:44:00.000Z","212.85","212.85","212.85","212.85","-0.0470","-0.0472","100"
"2025-07-22T09:50:00.000Z","212.82","212.82","212.82","212.82","-0.0141","-0.0143","137"
"2025-07-22T09:57:00.000Z","212.72","212.72","212.72","212.72","-0.0470","-0.0472","100"
"2025-07-22T10:04:00.000Z","212.86","212.86","212.86","212.86","0.0658","0.0656","100"
"2025-07-22T10:10:00.000Z","212.78","212.78","212.78","212.78","-0.0376","-0.0378","100"
"2025-07-22T10:13:00.000Z","212.80","212.80","212.80","212.80","0.0094","0.0092","100"
"2025-07-22T10:18:00.000Z","212.85","212.85","212.85","212.85","0.0235","0.0233","100"
"2025-07-22T10:19:00.000Z","212.85","212.85","212.85","212.85","","-0.0002","300"
"2025-07-22T10:24:00.000Z","212.79","212.79","212.79","212.79","-0.0282","-0.0284","100"
"2025-07-22T10:26:00.000Z","212.77","212.77","212.76","212.76","-0.0141","-0.0143","337"
"2025-07-22T10:32:00.000Z","212.73","212.73","212.73","212.73","-0.0141","-0.0143","237"
"2025-07-22T10:34:00.000Z","212.75","212.75","212.75","212.75","0.0094","0.0092","200"
"2025-07-22T10:35:00.000Z","212.76","212.76","212.76","212.76","0.0047","0.0045","149"
"2025-07-22T10:37:00.000Z","212.65","212.65","212.65","212.65","-0.0517","-0.0519","109"
"2025-07-22T10:49:00.000Z","212.75","212.75","212.75","212.75","0.0470","0.0468","100"
"2025-07-22T10:56:00.000Z","212.77","212.77","212.77","212.77","0.0094","0.0092","285"
"2025-07-22T10:59:00.000Z","212.80","212.80","212.80","212.80","0.0141","0.0139","106"
"2025-07-22T11:00:00.000Z","212.78","212.78","212.69","212.78","-0.0094","-0.0096","2,761"
"2025-07-22T11:01:00.000Z","212.78","212.83","212.78","212.83","0.0235","0.0233","923"
"2025-07-22T11:02:00.000Z","212.83","212.83","212.83","212.83","","-0.0002","773"
"2025-07-22T11:04:00.000Z","212.95","212.95","212.95","212.95","0.0564","0.0562","787"
"2025-07-22T11:05:00.000Z","212.93","212.93","212.93","212.93","-0.0094","-0.0096","100"
"2025-07-22T11:06:00.000Z","212.93","212.94","212.93","212.94","0.0047","0.0045","337"
"2025-07-22T11:08:00.000Z","212.94","212.94","212.90","212.92","-0.0094","-0.0096","931"
"2025-07-22T11:09:00.000Z","212.94","212.94","212.92","212.92","","-0.0002","200"
"2025-07-22T11:10:00.000Z","212.88","212.88","212.88","212.88","-0.0188","-0.0190","185"
