"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-31T13:30:00.000Z","35.80","35.82","35.72","35.77","0.9881","1.01","45,446"
"2025-07-31T13:32:00.000Z","35.77","35.78","35.75","35.76","-0.0280","-0.0101","16,306"
"2025-07-31T13:34:00.000Z","35.75","35.77","35.65","35.70","-0.1678","-0.1499","5,202"
"2025-07-31T13:36:00.000Z","35.69","35.76","35.67","35.72","0.0549","0.0728","25,243"
"2025-07-31T13:38:00.000Z","35.71","35.89","35.71","35.85","0.3653","0.3832","108,489"
"2025-07-31T13:40:00.000Z","35.86","35.90","35.83","35.86","0.0257","0.0436","153,484"
"2025-07-31T13:42:00.000Z","35.87","35.91","35.74","35.74","-0.3187","-0.3009","207,777"
"2025-07-31T13:44:00.000Z","35.74","35.80","35.72","35.76","0.0420","0.0599","144,875"
"2025-07-31T13:46:00.000Z","35.74","35.85","35.74","35.85","0.2517","0.2696","148,338"
"2025-07-31T13:48:00.000Z","35.85","35.87","35.80","35.80","-0.1395","-0.1216","74,340"
"2025-07-31T13:50:00.000Z","35.80","35.83","35.78","35.80","0.0131","0.0310","11,537"
"2025-07-31T13:52:00.000Z","35.80","35.92","35.80","35.90","0.2662","0.2841","69,847"
"2025-07-31T13:54:00.000Z","35.90","35.92","35.87","35.89","-0.0279","-0.0100","26,762"
"2025-07-31T13:56:00.000Z","35.89","35.90","35.85","35.86","-0.0836","-0.0657","12,200"
"2025-07-31T13:58:00.000Z","35.86","35.89","35.85","35.85","-0.0145","0.0034","26,559"
"2025-07-31T14:00:00.000Z","35.86","35.93","35.86","35.92","0.1818","0.1997","14,357"
"2025-07-31T14:02:00.000Z","35.92","35.94","35.84","35.86","-0.1670","-0.1491","32,341"
"2025-07-31T14:04:00.000Z","35.86","35.86","35.79","35.81","-0.1394","-0.1215","19,513"
"2025-07-31T14:06:00.000Z","35.79","35.83","35.78","35.81","0.0140","0.0319","14,115"
"2025-07-31T14:08:00.000Z","35.82","35.83","35.77","35.77","-0.1117","-0.0938","10,018"
"2025-07-31T14:10:00.000Z","35.78","35.81","35.71","35.71","-0.1817","-0.1638","11,369"
"2025-07-31T14:12:00.000Z","35.70","35.76","35.69","35.76","0.1400","0.1579","8,406"
"2025-07-31T14:14:00.000Z","35.76","35.76","35.65","35.71","-0.1398","-0.1219","22,975"
"2025-07-31T14:16:00.000Z","35.71","35.71","35.61","35.61","-0.2800","-0.2621","14,357"
"2025-07-31T14:18:00.000Z","35.61","35.71","35.59","35.69","0.2106","0.2285","24,363"
"2025-07-31T14:20:00.000Z","35.70","35.71","35.60","35.61","-0.2102","-0.1923","18,023"
"2025-07-31T14:22:00.000Z","35.61","35.61","35.50","35.57","-0.1261","-0.1082","48,975"
"2025-07-31T14:24:00.000Z","35.56","35.60","35.54","35.54","-0.0706","-0.0527","8,054"
"2025-07-31T14:26:00.000Z","35.51","35.51","35.46","35.50","-0.1125","-0.0947","16,183"
"2025-07-31T14:28:00.000Z","35.53","35.56","35.52","35.55","0.1408","0.1587","18,073"
"2025-07-31T14:30:00.000Z","35.53","35.60","35.51","35.59","0.1266","0.1445","14,294"
"2025-07-31T14:32:00.000Z","35.56","35.56","35.50","35.50","-0.2669","-0.2490","2,083"
"2025-07-31T14:34:00.000Z","35.52","35.64","35.51","35.64","0.3944","0.4123","6,057"
"2025-07-31T14:36:00.000Z","35.63","35.67","35.57","35.57","-0.2096","-0.1917","31,465"
"2025-07-31T14:38:00.000Z","35.59","35.60","35.58","35.58","0.0408","0.0587","1,703"
"2025-07-31T14:40:00.000Z","35.57","35.59","35.55","35.59","0.0287","0.0466","13,908"
"2025-07-31T14:42:00.000Z","35.58","35.58","35.49","35.55","-0.1264","-0.1086","6,702"
"2025-07-31T14:44:00.000Z","35.56","35.57","35.48","35.48","-0.1829","-0.1650","16,769"
"2025-07-31T14:46:00.000Z","35.48","35.55","35.48","35.55","0.1832","0.2011","3,700"
"2025-07-31T14:48:00.000Z","35.55","35.61","35.55","35.59","0.1266","0.1445","9,260"
"2025-07-31T14:50:00.000Z","35.61","35.61","35.51","35.55","-0.1264","-0.1086","1,813"
"2025-07-31T14:52:00.000Z","35.51","35.56","35.49","35.55","0.0234","0.0412","3,412"
"2025-07-31T14:54:00.000Z","35.58","35.58","35.56","35.56","0.0191","0.0370","620"
"2025-07-31T14:56:00.000Z","35.57","35.57","35.55","35.56","-0.0003","0.0176","2,985"
"2025-07-31T14:58:00.000Z","35.56","35.56","35.48","35.48","-0.2250","-0.2071","4,646"
"2025-07-31T15:00:00.000Z","35.48","35.53","35.48","35.53","0.1409","0.1588","2,375"
"2025-07-31T15:02:00.000Z","35.55","35.58","35.53","35.56","0.0844","0.1023","7,577"
"2025-07-31T15:04:00.000Z","35.57","35.58","35.51","35.53","-0.0844","-0.0665","3,062"
"2025-07-31T15:06:00.000Z","35.54","35.56","35.51","35.55","0.0563","0.0742","2,320"
"2025-07-31T15:08:00.000Z","35.55","35.55","35.49","35.49","-0.1688","-0.1509","1,625"
"2025-07-31T15:10:00.000Z","35.50","35.50","35.45","35.47","-0.0564","-0.0385","16,111"
"2025-07-31T15:12:00.000Z","35.51","35.57","35.51","35.55","0.2396","0.2575","11,602"
"2025-07-31T15:14:00.000Z","35.56","35.58","35.53","35.55","","0.0179","6,878"
"2025-07-31T15:16:00.000Z","35.60","35.64","35.59","35.63","0.2109","0.2288","2,395"
"2025-07-31T15:18:00.000Z","35.63","35.68","35.62","35.63","-0.0140","0.0039","6,427"
"2025-07-31T15:20:00.000Z","35.63","35.65","35.63","35.64","0.0424","0.0603","1,200"
"2025-07-31T15:22:00.000Z","35.58","35.61","35.58","35.60","-0.1125","-0.0946","2,236"
"2025-07-31T15:24:00.000Z","35.64","35.66","35.59","35.59","-0.0281","-0.0102","5,615"
"2025-07-31T15:26:00.000Z","35.62","35.64","35.62","35.64","0.1267","0.1446","6,700"
"2025-07-31T15:28:00.000Z","35.66","35.66","35.63","35.63","-0.0143","0.0036","8,003"
"2025-07-31T15:30:00.000Z","35.63","35.74","35.63","35.74","0.3087","0.3266","11,551"
"2025-07-31T15:32:00.000Z","35.74","35.76","35.71","35.76","0.0560","0.0738","4,741"
"2025-07-31T15:34:00.000Z","35.73","35.73","35.68","35.70","-0.1678","-0.1499","15,508"
"2025-07-31T15:36:00.000Z","35.71","35.75","35.71","35.75","0.1401","0.1579","7,506"
"2025-07-31T15:38:00.000Z","35.74","35.74","35.73","35.73","-0.0559","-0.0381","3,427"
"2025-07-31T15:40:00.000Z","35.75","35.76","35.70","35.71","-0.0560","-0.0381","3,538"
"2025-07-31T15:42:00.000Z","35.71","35.74","35.71","35.74","0.0840","0.1019","11,000"
"2025-07-31T15:44:00.000Z","35.74","35.74","35.73","35.73","-0.0280","-0.0101","700"
"2025-07-31T15:46:00.000Z","35.73","35.76","35.70","35.71","-0.0560","-0.0381","6,250"
"2025-07-31T15:48:00.000Z","35.71","35.72","35.59","35.59","-0.3360","-0.3182","12,319"
"2025-07-31T15:50:00.000Z","35.60","35.66","35.58","35.66","0.1967","0.2146","3,700"
"2025-07-31T15:52:00.000Z","35.65","35.69","35.64","35.66","","0.0179","1,927"
"2025-07-31T15:54:00.000Z","35.67","35.69","35.66","35.67","0.0421","0.0600","2,739"
"2025-07-31T15:56:00.000Z","35.68","35.68","35.63","35.63","-0.1130","-0.0951","5,350"
"2025-07-31T15:58:00.000Z","35.64","35.68","35.64","35.66","0.0850","0.1029","3,200"
"2025-07-31T16:00:00.000Z","35.67","35.70","35.67","35.68","0.0421","0.0599","37,610"
"2025-07-31T16:02:00.000Z","35.68","35.71","35.68","35.71","0.0841","0.1020","2,800"
"2025-07-31T16:04:00.000Z","35.72","35.72","35.67","35.70","-0.0280","-0.0101","1,800"
"2025-07-31T16:06:00.000Z","35.70","35.73","35.69","35.70","","0.0179","1,600"
"2025-07-31T16:08:00.000Z","35.73","35.73","35.63","35.63","-0.1961","-0.1782","1,800"
"2025-07-31T16:10:00.000Z","35.65","35.67","35.61","35.67","0.1123","0.1302","15,043"
"2025-07-31T16:12:00.000Z","35.66","35.70","35.65","35.70","0.0841","0.1020","1,700"
"2025-07-31T16:14:00.000Z","35.68","35.76","35.68","35.76","0.1812","0.1991","10,696"
"2025-07-31T16:16:00.000Z","35.76","35.82","35.74","35.77","0.0288","0.0467","14,278"
"2025-07-31T16:18:00.000Z","35.78","35.78","35.73","35.73","-0.1118","-0.0939","27,469"
"2025-07-31T16:20:00.000Z","35.74","35.74","35.70","35.73","-0.0140","0.0039","15,760"
"2025-07-31T16:22:00.000Z","35.73","35.75","35.71","35.71","-0.0560","-0.0381","3,150"
"2025-07-31T16:24:00.000Z","35.70","35.71","35.65","35.65","-0.1627","-0.1448","19,555"
"2025-07-31T16:26:00.000Z","35.64","35.70","35.64","35.69","0.1167","0.1346","8,922"
"2025-07-31T16:28:00.000Z","35.72","35.76","35.72","35.73","0.0883","0.1061","9,184"
"2025-07-31T16:30:00.000Z","35.73","35.82","35.73","35.81","0.2379","0.2558","18,542"
"2025-07-31T16:32:00.000Z","35.80","35.83","35.78","35.80","-0.0279","-0.0100","13,016"
"2025-07-31T16:34:00.000Z","35.81","35.88","35.79","35.85","0.1397","0.1576","12,019"
"2025-07-31T16:36:00.000Z","35.88","35.93","35.87","35.93","0.2232","0.2410","25,138"
"2025-07-31T16:38:00.000Z","35.92","35.97","35.90","35.95","0.0554","0.0733","8,230"
"2025-07-31T16:40:00.000Z","35.95","35.95","35.87","35.93","-0.0554","-0.0375","38,023"
"2025-07-31T16:42:00.000Z","35.95","35.97","35.90","35.90","-0.0835","-0.0656","13,075"
"2025-07-31T16:44:00.000Z","35.90","35.90","35.85","35.85","-0.1393","-0.1214","4,075"
"2025-07-31T16:46:00.000Z","35.77","35.78","35.76","35.78","-0.1953","-0.1774","4,310"
"2025-07-31T16:48:00.000Z","35.76","35.77","35.72","35.73","-0.1397","-0.1219","8,594"
"2025-07-31T16:50:00.000Z","35.78","35.79","35.76","35.77","0.1117","0.1296","6,995"
"2025-07-31T16:52:00.000Z","35.80","35.83","35.80","35.83","0.1652","0.1831","4,624"
