"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-21T13:30:00.000Z","334.41","337.80","334.31","337.65","2.46","2.46","1,502,408"
"2025-07-21T13:31:00.000Z","337.62","338.00","334.60","335.65","-0.5923","-0.5918","889,782"
"2025-07-21T13:32:00.000Z","335.69","336.03","334.00","335.51","-0.0417","-0.0412","620,244"
"2025-07-21T13:33:00.000Z","335.59","335.83","333.61","333.69","-0.5439","-0.5434","437,884"
"2025-07-21T13:34:00.000Z","333.69","334.28","332.72","332.94","-0.2263","-0.2257","606,110"
"2025-07-21T13:35:00.000Z","332.98","333.45","332.00","332.37","-0.1697","-0.1691","529,501"
"2025-07-21T13:36:00.000Z","332.32","333.11","331.52","332.60","0.0692","0.0698","489,618"
"2025-07-21T13:37:00.000Z","332.63","333.05","331.97","332.03","-0.1704","-0.1698","408,069"
"2025-07-21T13:38:00.000Z","332.02","332.40","330.99","332.34","0.0924","0.0929","581,195"
"2025-07-21T13:39:00.000Z","332.28","332.90","332.00","332.66","0.0963","0.0968","382,933"
"2025-07-21T13:40:00.000Z","332.68","332.93","331.11","331.30","-0.4075","-0.4069","320,429"
"2025-07-21T13:41:00.000Z","331.33","332.40","331.20","332.20","0.2703","0.2709","301,860"
"2025-07-21T13:42:00.000Z","332.22","332.37","331.26","331.85","-0.1054","-0.1048","284,498"
"2025-07-21T13:43:00.000Z","331.89","332.17","331.25","331.45","-0.1206","-0.1200","240,168"
"2025-07-21T13:44:00.000Z","331.35","331.37","330.47","330.64","-0.2449","-0.2444","532,435"
"2025-07-21T13:45:00.000Z","330.59","330.59","329.77","330.15","-0.1461","-0.1456","570,374"
"2025-07-21T13:46:00.000Z","330.17","330.59","329.40","329.70","-0.1371","-0.1365","421,349"
"2025-07-21T13:47:00.000Z","329.78","330.80","329.70","330.69","0.3011","0.3016","330,774"
"2025-07-21T13:48:00.000Z","330.73","331.14","330.07","330.18","-0.1557","-0.1552","360,379"
"2025-07-21T13:49:00.000Z","330.18","331.24","329.89","331.18","0.3014","0.3019","321,063"
"2025-07-21T13:50:00.000Z","331.21","331.47","330.84","331.35","0.0529","0.0534","284,993"
