"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-14T13:30:00.000Z","4.93","5.23","4.91","5.15","5.74","5.72","4,429,358"
"2025-07-14T13:45:00.000Z","5.15","5.20","5.03","5.04","-2.13","-2.15","2,877,480"
"2025-07-14T14:00:00.000Z","5.04","5.14","5.02","5.12","1.39","1.37","3,726,976"
"2025-07-14T14:15:00.000Z","5.12","5.19","5.09","5.14","0.4888","0.4686","4,163,211"
"2025-07-14T14:30:00.000Z","5.14","5.16","5.05","5.11","-0.5817","-0.6019","7,250,360"
"2025-07-14T14:45:00.000Z","5.12","5.19","5.11","5.17","1.27","1.25","6,884,537"
"2025-07-14T15:00:00.000Z","5.17","5.17","5.05","5.08","-1.82","-1.84","7,411,864"
"2025-07-14T15:15:00.000Z","5.09","5.12","5.02","5.05","-0.5058","-0.5260","5,115,579"
"2025-07-14T15:30:00.000Z","5.06","5.08","5.02","5.04","-0.1978","-0.2180","3,905,597"
"2025-07-14T15:45:00.000Z","5.04","5.07","4.96","4.98","-1.29","-1.31","3,261,315"
"2025-07-14T16:00:00.000Z","4.97","5.00","4.95","4.96","-0.3675","-0.3876","3,035,075"
"2025-07-14T16:15:00.000Z","4.97","5.11","4.96","5.10","2.79","2.77","3,157,793"
"2025-07-14T16:30:00.000Z","5.11","5.11","4.99","5.00","-2.06","-2.08","2,950,678"
"2025-07-14T16:45:00.000Z","4.99","5.13","4.97","5.12","2.50","2.48","2,872,111"
"2025-07-14T17:00:00.000Z","5.12","5.17","5.10","5.14","0.4863","0.4662","2,348,558"
"2025-07-14T17:15:00.000Z","5.14","5.15","5.08","5.13","-0.3887","-0.4089","1,813,930"
"2025-07-14T17:30:00.000Z","5.13","5.18","5.11","5.13","","-0.0202","2,429,693"
"2025-07-14T17:45:00.000Z","5.12","5.14","5.09","5.11","-0.3902","-0.4104","1,352,584"
"2025-07-14T18:00:00.000Z","5.10","5.14","5.10","5.13","0.5837","0.5636","1,657,653"
"2025-07-14T18:15:00.000Z","5.14","5.15","5.09","5.13","0.0039","-0.0163","1,829,481"
"2025-07-14T18:30:00.000Z","5.13","5.15","5.07","5.08","-1.17","-1.19","1,877,508"
"2025-07-14T18:45:00.000Z","5.08","5.08","5.03","5.06","-0.3606","-0.3807","1,356,194"
"2025-07-14T19:00:00.000Z","5.06","5.10","5.04","5.05","-0.0336","-0.0538","1,732,049"
"2025-07-14T19:15:00.000Z","5.05","5.09","5.03","5.08","0.5935","0.5733","2,272,483"
"2025-07-14T19:30:00.000Z","5.08","5.09","5.04","5.04","-0.7866","-0.8068","1,641,560"
"2025-07-14T19:45:00.000Z","5.05","5.12","5.01","5.12","1.39","1.37","3,565,628"
"2025-07-15T13:30:00.000Z","5.05","5.05","4.84","4.92","-3.91","-3.93","2,663,399"
"2025-07-15T13:45:00.000Z","4.92","4.94","4.88","4.88","-0.6755","-0.6956","1,797,803"
"2025-07-15T14:00:00.000Z","4.88","5.01","4.88","4.99","2.22","2.20","3,612,430"
"2025-07-15T14:15:00.000Z","5.00","5.01","4.95","4.97","-0.3106","-0.3308","2,274,670"
"2025-07-15T14:30:00.000Z","4.97","5.02","4.96","5.00","0.6131","0.5930","2,421,102"
"2025-07-15T14:45:00.000Z","5.01","5.01","4.95","4.95","-1.10","-1.12","2,199,653"
"2025-07-15T15:00:00.000Z","4.96","5.01","4.89","4.89","-1.11","-1.13","1,974,374"
"2025-07-15T15:15:00.000Z","4.89","4.92","4.86","4.91","0.2043","0.1841","1,478,516"
"2025-07-15T15:30:00.000Z","4.91","4.93","4.90","4.92","0.2997","0.2795","1,191,276"
"2025-07-15T15:45:00.000Z","4.91","4.97","4.91","4.95","0.5183","0.4982","1,046,361"
"2025-07-15T16:00:00.000Z","4.95","4.99","4.94","4.97","0.5015","0.4813","554,703"
"2025-07-15T16:15:00.000Z","4.97","5.04","4.97","5.01","0.9054","0.8853","875,779"
"2025-07-15T16:30:00.000Z","5.02","5.04","5.00","5.03","0.3948","0.3747","979,932"
"2025-07-15T16:45:00.000Z","5.04","5.04","4.93","4.95","-1.68","-1.70","1,145,104"
"2025-07-15T17:00:00.000Z","4.95","4.99","4.95","4.96","0.3030","0.2829","847,394"
"2025-07-15T17:15:00.000Z","4.97","5.00","4.93","5.00","0.6042","0.5841","1,299,525"
"2025-07-15T17:30:00.000Z","5.00","5.00","4.96","4.97","-0.5005","-0.5207","973,098"
"2025-07-15T17:45:00.000Z","4.97","4.99","4.94","4.98","0.2998","0.2796","635,686"
"2025-07-15T18:00:00.000Z","4.99","5.00","4.96","4.99","0.0020","-0.0182","643,534"
"2025-07-15T18:15:00.000Z","4.99","5.00","4.93","4.95","-0.7543","-0.7744","1,087,892"
"2025-07-15T18:30:00.000Z","4.95","4.95","4.82","4.83","-2.28","-2.30","2,283,196"
"2025-07-15T18:45:00.000Z","4.83","4.88","4.82","4.85","0.3144","0.2942","1,588,836"
"2025-07-15T19:00:00.000Z","4.84","4.90","4.83","4.89","0.8021","0.7819","1,046,079"
"2025-07-15T19:15:00.000Z","4.88","4.90","4.86","4.87","-0.4889","-0.5090","1,097,624"
"2025-07-15T19:30:00.000Z","4.87","4.87","4.83","4.84","-0.4111","-0.4313","1,258,480"
"2025-07-15T19:45:00.000Z","4.84","4.88","4.83","4.87","0.4128","0.3926","1,825,845"
"2025-07-16T13:30:00.000Z","4.99","5.27","4.98","5.05","3.90","3.88","3,888,988"
"2025-07-16T13:45:00.000Z","5.06","5.08","5.02","5.05","0.0059","-0.0142","923,806"
"2025-07-16T14:00:00.000Z","5.05","5.23","5.04","5.22","3.26","3.24","3,781,499"
"2025-07-16T14:15:00.000Z","5.23","5.32","5.22","5.28","1.05","1.03","5,699,452"
"2025-07-16T14:30:00.000Z","5.27","5.31","5.22","5.29","0.3791","0.3590","3,082,342"
"2025-07-16T14:45:00.000Z","5.30","5.34","5.29","5.33","0.6799","0.6597","2,440,934"
"2025-07-16T15:00:00.000Z","5.33","5.37","5.30","5.33","0.0694","0.0492","2,786,208"
"2025-07-16T15:15:00.000Z","5.33","5.33","5.25","5.32","-0.3693","-0.3894","2,598,729"
"2025-07-16T15:30:00.000Z","5.31","5.32","5.18","5.29","-0.3763","-0.3965","2,960,443"
"2025-07-16T15:45:00.000Z","5.29","5.31","5.22","5.29","-0.1662","-0.1864","2,354,588"
"2025-07-16T16:00:00.000Z","5.29","5.31","5.25","5.30","0.3556","0.3355","1,659,930"
"2025-07-16T16:15:00.000Z","5.31","5.34","5.29","5.33","0.3770","0.3568","967,764"
"2025-07-16T16:30:00.000Z","5.32","5.34","5.25","5.28","-0.8451","-0.8652","1,142,002"
"2025-07-16T16:45:00.000Z","5.28","5.32","5.25","5.32","0.7557","0.7355","939,568"
"2025-07-16T17:00:00.000Z","5.31","5.34","5.29","5.31","-0.1861","-0.2063","1,171,228"
"2025-07-16T17:15:00.000Z","5.30","5.33","5.29","5.30","-0.1883","-0.2085","594,028"
"2025-07-16T17:30:00.000Z","5.31","5.31","5.23","5.24","-1.13","-1.15","892,843"
"2025-07-16T17:45:00.000Z","5.24","5.26","5.22","5.25","0.2882","0.2680","809,830"
"2025-07-16T18:00:00.000Z","5.25","5.30","5.25","5.25","-0.0818","-0.1020","828,404"
"2025-07-16T18:15:00.000Z","5.25","5.26","5.21","5.22","-0.4895","-0.5096","922,887"
"2025-07-16T18:30:00.000Z","5.22","5.27","5.22","5.24","0.3349","0.3148","979,156"
"2025-07-16T18:45:00.000Z","5.25","5.26","5.23","5.24","-0.0477","-0.0678","756,002"
"2025-07-16T19:00:00.000Z","5.24","5.25","5.22","5.24","-0.0954","-0.1156","348,117"
"2025-07-16T19:15:00.000Z","5.24","5.29","5.22","5.27","0.6667","0.6465","895,391"
"2025-07-16T19:30:00.000Z","5.26","5.29","5.26","5.28","0.0968","0.0766","1,215,179"
"2025-07-16T19:45:00.000Z","5.28","5.28","5.22","5.25","-0.5687","-0.5889","2,227,726"
"2025-07-17T13:30:00.000Z","5.23","5.32","5.14","5.32","1.33","1.31","2,568,983"
"2025-07-17T13:45:00.000Z","5.31","5.35","5.28","5.32","0.0038","-0.0164","1,411,678"
"2025-07-17T14:00:00.000Z","5.32","5.41","5.26","5.40","1.60","1.58","3,436,320"
"2025-07-17T14:15:00.000Z","5.40","5.41","5.30","5.34","-1.02","-1.04","3,188,775"
"2025-07-17T14:30:00.000Z","5.34","5.38","5.33","5.34","-0.0935","-0.1137","2,505,479"
"2025-07-17T14:45:00.000Z","5.34","5.42","5.33","5.38","0.7491","0.7289","2,042,488"
"2025-07-17T15:00:00.000Z","5.39","5.41","5.34","5.34","-0.7379","-0.7581","1,627,390"
"2025-07-17T15:15:00.000Z","5.34","5.40","5.34","5.36","0.4063","0.3862","1,406,981"
"2025-07-17T15:30:00.000Z","5.36","5.42","5.34","5.41","0.8952","0.8750","1,900,895"
"2025-07-17T15:45:00.000Z","5.41","5.42","5.37","5.38","-0.5545","-0.5747","1,424,609"
"2025-07-17T16:00:00.000Z","5.39","5.39","5.33","5.38","-0.0929","-0.1131","1,410,085"
"2025-07-17T16:15:00.000Z","5.38","5.38","5.33","5.33","-0.7442","-0.7643","1,628,414"
"2025-07-17T16:30:00.000Z","5.33","5.35","5.30","5.33","-0.1874","-0.2076","1,123,998"
"2025-07-17T16:45:00.000Z","5.32","5.33","5.26","5.27","-1.12","-1.15","1,513,659"
"2025-07-17T17:00:00.000Z","5.26","5.32","5.26","5.29","0.3780","0.3578","946,188"
"2025-07-17T17:15:00.000Z","5.29","5.31","5.24","5.25","-0.6623","-0.6824","1,031,660"
"2025-07-17T17:30:00.000Z","5.25","5.26","5.24","5.24","-0.1905","-0.2106","583,774"
"2025-07-17T17:45:00.000Z","5.25","5.29","5.21","5.27","0.5725","0.5524","1,241,693"
"2025-07-17T18:00:00.000Z","5.27","5.32","5.26","5.30","0.6641","0.6440","922,990"
"2025-07-17T18:15:00.000Z","5.30","5.33","5.29","5.32","0.1885","0.1683","727,582"
"2025-07-17T18:30:00.000Z","5.31","5.38","5.31","5.37","1.00","0.9827","860,364"
"2025-07-17T18:45:00.000Z","5.36","5.40","5.35","5.39","0.4024","0.3822","1,413,569"
"2025-07-17T19:00:00.000Z","5.38","5.44","5.38","5.42","0.5751","0.5550","1,581,829"
"2025-07-17T19:15:00.000Z","5.42","5.43","5.37","5.38","-0.6623","-0.6824","1,203,711"
"2025-07-17T19:30:00.000Z","5.38","5.39","5.33","5.35","-0.6500","-0.6701","1,595,853"
"2025-07-17T19:45:00.000Z","5.35","5.38","5.35","5.35","","-0.0202","1,873,687"
"2025-07-18T13:30:00.000Z","5.43","5.63","5.39","5.55","3.67","3.65","3,005,575"
"2025-07-18T13:45:00.000Z","5.54","5.60","5.44","5.46","-1.46","-1.48","1,929,767"
"2025-07-18T14:00:00.000Z","5.47","5.50","5.37","5.38","-1.65","-1.67","2,884,276"
"2025-07-18T14:15:00.000Z","5.38","5.38","5.25","5.27","-1.95","-1.97","4,337,160"
"2025-07-18T14:30:00.000Z","5.26","5.30","5.24","5.29","0.4744","0.4542","4,158,614"
"2025-07-18T14:45:00.000Z","5.29","5.30","5.20","5.21","-1.51","-1.53","2,090,441"
"2025-07-18T15:00:00.000Z","5.22","5.22","5.17","5.20","-0.2876","-0.3078","1,706,468"
"2025-07-18T15:15:00.000Z","5.21","5.25","5.17","5.19","-0.2231","-0.2432","3,002,413"
"2025-07-18T15:30:00.000Z","5.18","5.21","5.13","5.16","-0.6437","-0.6639","1,732,858"
"2025-07-18T15:45:00.000Z","5.16","5.17","5.12","5.13","-0.5820","-0.6021","1,600,786"
"2025-07-18T16:00:00.000Z","5.13","5.14","5.06","5.08","-0.7805","-0.8006","1,262,187"
"2025-07-18T16:15:00.000Z","5.08","5.13","5.08","5.11","0.4916","0.4715","1,382,057"
"2025-07-18T16:30:00.000Z","5.11","5.12","5.08","5.09","-0.2935","-0.3137","795,151"
"2025-07-18T16:45:00.000Z","5.09","5.10","5.06","5.07","-0.5888","-0.6090","646,010"
"2025-07-18T17:00:00.000Z","5.07","5.08","5.02","5.05","-0.1974","-0.2176","1,343,504"
"2025-07-18T17:15:00.000Z","5.05","5.07","5.03","5.06","0.0989","0.0788","690,373"
"2025-07-18T17:30:00.000Z","5.06","5.07","5.01","5.01","-0.8893","-0.9095","622,595"
"2025-07-18T17:45:00.000Z","5.02","5.04","5.00","5.02","0.0997","0.0795","1,128,424"
"2025-07-18T18:00:00.000Z","5.02","5.05","5.01","5.04","0.2988","0.2786","953,615"
"2025-07-18T18:15:00.000Z","5.04","5.08","5.03","5.07","0.5958","0.5757","1,266,053"
"2025-07-18T18:30:00.000Z","5.06","5.09","5.06","5.07","","-0.0202","622,820"
"2025-07-18T18:45:00.000Z","5.07","5.12","5.06","5.08","0.2962","0.2760","1,290,682"
"2025-07-18T19:00:00.000Z","5.08","5.14","5.07","5.12","0.8150","0.7948","1,191,850"
"2025-07-18T19:15:00.000Z","5.13","5.17","5.12","5.12","-0.0273","-0.0475","1,107,214"
"2025-07-18T19:30:00.000Z","5.12","5.15","5.10","5.13","0.0977","0.0775","1,276,095"
"2025-07-18T19:45:00.000Z","5.13","5.13","5.08","5.13","","-0.0202","2,498,470"
"2025-07-21T13:30:00.000Z","5.17","5.32","5.15","5.25","2.34","2.32","2,248,619"
"2025-07-21T13:45:00.000Z","5.25","5.29","5.22","5.24","-0.1907","-0.2108","1,259,795"
"2025-07-21T14:00:00.000Z","5.24","5.34","5.21","5.34","1.98","1.96","1,832,175"
"2025-07-21T14:15:00.000Z","5.34","5.46","5.32","5.39","0.9590","0.9389","2,497,016"
