"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-21T13:30:00.000Z","5.17","5.22","5.16","5.17","0.8800","0.8802","455,668"
"2025-07-21T13:31:00.000Z","5.17","5.21","5.17","5.20","0.4816","0.4818","76,682"
"2025-07-21T13:32:00.000Z","5.19","5.24","5.15","5.21","0.3600","0.3602","189,635"
"2025-07-21T13:33:00.000Z","5.22","5.22","5.18","5.20","-0.2282","-0.2280","105,077"
"2025-07-21T13:34:00.000Z","5.21","5.21","5.16","5.19","-0.2268","-0.2266","124,267"
"2025-07-21T13:35:00.000Z","5.19","5.20","5.17","5.17","-0.3121","-0.3119","48,435"
"2025-07-21T13:36:00.000Z","5.18","5.19","5.17","5.18","0.1198","0.1200","58,163"
"2025-07-21T13:37:00.000Z","5.17","5.23","5.17","5.23","0.9653","0.9655","51,835"
"2025-07-21T13:38:00.000Z","5.23","5.29","5.22","5.29","1.05","1.05","294,723"
"2025-07-21T13:39:00.000Z","5.29","5.29","5.27","5.28","-0.0946","-0.0944","208,406"
"2025-07-21T13:40:00.000Z","5.29","5.32","5.28","5.31","0.4773","0.4775","272,935"
"2025-07-21T13:41:00.000Z","5.30","5.31","5.27","5.28","-0.5693","-0.5690","131,136"
"2025-07-21T13:42:00.000Z","5.27","5.28","5.25","5.25","-0.3791","-0.3789","113,187"
"2025-07-21T13:43:00.000Z","5.26","5.26","5.23","5.24","-0.2873","-0.2871","80,545"
"2025-07-21T13:44:00.000Z","5.24","5.25","5.23","5.25","0.0973","0.0975","37,925"
"2025-07-21T13:45:00.000Z","5.25","5.29","5.25","5.27","0.4766","0.4769","215,490"
"2025-07-21T13:46:00.000Z","5.27","5.28","5.26","5.27","-0.0057","-0.0055","79,990"
"2025-07-21T13:47:00.000Z","5.26","5.27","5.25","5.26","-0.1841","-0.1839","54,349"
"2025-07-21T13:48:00.000Z","5.25","5.26","5.25","5.25","-0.0951","-0.0948","20,164"
"2025-07-21T13:49:00.000Z","5.25","5.27","5.25","5.27","0.3768","0.3770","84,889"
"2025-07-21T13:50:00.000Z","5.28","5.29","5.27","5.28","0.0986","0.0988","85,222"
"2025-07-21T13:51:00.000Z","5.28","5.28","5.22","5.22","-1.05","-1.05","70,878"
