"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-24T13:30:00.000Z","5.21","5.37","5.21","5.37","3.17","3.18","769,718"
"2025-07-24T13:31:00.000Z","5.37","5.45","5.34","5.43","1.17","1.18","1,002,890"
"2025-07-24T13:32:00.000Z","5.42","5.42","5.29","5.32","-2.08","-2.08","211,889"
"2025-07-24T13:33:00.000Z","5.31","5.33","5.25","5.27","-0.7563","-0.7534","335,351"
"2025-07-24T13:34:00.000Z","5.28","5.29","5.25","5.25","-0.3754","-0.3724","73,342"
"2025-07-24T13:35:00.000Z","5.25","5.29","5.25","5.28","0.4757","0.4787","157,660"
"2025-07-24T13:36:00.000Z","5.27","5.29","5.26","5.29","0.0947","0.0976","40,105"
"2025-07-24T13:37:00.000Z","5.29","5.30","5.28","5.29","","0.0029","70,035"
"2025-07-24T13:38:00.000Z","5.29","5.29","5.20","5.22","-1.14","-1.13","97,882"
"2025-07-24T13:39:00.000Z","5.22","5.24","5.22","5.22","","0.0029","103,549"
"2025-07-24T13:40:00.000Z","5.22","5.25","5.22","5.24","0.1914","0.1943","62,681"
"2025-07-24T13:41:00.000Z","5.24","5.25","5.22","5.24","0.0974","0.1003","52,463"
"2025-07-24T13:42:00.000Z","5.24","5.25","5.23","5.23","-0.1927","-0.1898","32,292"
"2025-07-24T13:43:00.000Z","5.24","5.25","5.22","5.24","0.0956","0.0985","68,402"
"2025-07-24T13:44:00.000Z","5.24","5.27","5.23","5.27","0.6590","0.6619","157,333"
"2025-07-24T13:45:00.000Z","5.27","5.27","5.25","5.27","0.0095","0.0124","92,709"
"2025-07-24T13:46:00.000Z","5.26","5.28","5.25","5.25","-0.2846","-0.2817","74,902"
"2025-07-24T13:47:00.000Z","5.25","5.27","5.23","5.27","0.2854","0.2884","115,855"
"2025-07-24T13:48:00.000Z","5.26","5.28","5.26","5.27","0.0304","0.0333","57,835"
"2025-07-24T13:49:00.000Z","5.28","5.28","5.26","5.26","-0.2200","-0.2171","35,398"
"2025-07-24T13:50:00.000Z","5.26","5.26","5.25","5.25","-0.0951","-0.0921","38,805"
"2025-07-24T13:51:00.000Z","5.25","5.26","5.25","5.25","","0.0029","32,216"
"2025-07-24T13:52:00.000Z","5.25","5.25","5.24","5.25","-0.0951","-0.0922","136,668"
"2025-07-24T13:53:00.000Z","5.25","5.27","5.25","5.27","0.3810","0.3839","104,062"
"2025-07-24T13:54:00.000Z","5.27","5.27","5.24","5.24","-0.5693","-0.5663","79,684"
"2025-07-24T13:55:00.000Z","5.25","5.25","5.23","5.24","","0.0029","64,333"
"2025-07-24T13:56:00.000Z","5.24","5.24","5.22","5.22","-0.2920","-0.2891","60,088"
"2025-07-24T13:57:00.000Z","5.22","5.24","5.22","5.23","0.1206","0.1235","26,933"
"2025-07-24T13:58:00.000Z","5.23","5.23","5.20","5.21","-0.4970","-0.4941","129,059"
"2025-07-24T13:59:00.000Z","5.20","5.22","5.19","5.21","0.1921","0.1950","201,745"
"2025-07-24T14:00:00.000Z","5.21","5.22","5.21","5.21","-0.1918","-0.1888","111,508"
"2025-07-24T14:01:00.000Z","5.20","5.23","5.20","5.22","0.2920","0.2950","197,401"
"2025-07-24T14:02:00.000Z","5.23","5.23","5.21","5.22","-0.0038","-0.0009","96,364"
"2025-07-24T14:03:00.000Z","5.23","5.23","5.21","5.22","-0.0862","-0.0833","90,582"
"2025-07-24T14:04:00.000Z","5.22","5.23","5.22","5.23","0.2780","0.2809","134,841"
"2025-07-24T14:05:00.000Z","5.22","5.24","5.22","5.24","0.0994","0.1023","53,856"
"2025-07-24T14:06:00.000Z","5.24","5.25","5.23","5.25","0.1872","0.1901","37,961"
"2025-07-24T14:07:00.000Z","5.25","5.25","5.23","5.23","-0.2669","-0.2640","21,627"
"2025-07-24T14:08:00.000Z","5.23","5.24","5.22","5.22","-0.2103","-0.2074","182,677"
"2025-07-24T14:09:00.000Z","5.21","5.22","5.20","5.20","-0.4789","-0.4760","101,465"
"2025-07-24T14:10:00.000Z","5.20","5.21","5.19","5.21","0.2156","0.2185","92,372"
"2025-07-24T14:11:00.000Z","5.21","5.21","5.20","5.21","-0.0230","-0.0201","38,770"
"2025-07-24T14:12:00.000Z","5.21","5.21","5.19","5.21","","0.0029","148,519"
"2025-07-24T14:13:00.000Z","5.20","5.21","5.19","5.21","","0.0029","105,787"
"2025-07-24T14:14:00.000Z","5.21","5.23","5.21","5.22","0.2786","0.2815","215,019"
"2025-07-24T14:15:00.000Z","5.22","5.26","5.22","5.24","0.3832","0.3861","326,900"
"2025-07-24T14:16:00.000Z","5.24","5.25","5.23","5.24","0.0439","0.0468","150,795"
"2025-07-24T14:17:00.000Z","5.25","5.28","5.24","5.27","0.5723","0.5752","423,542"
"2025-07-24T14:18:00.000Z","5.28","5.28","5.26","5.28","0.0607","0.0636","153,685"
"2025-07-24T14:19:00.000Z","5.28","5.30","5.26","5.29","0.3564","0.3593","290,243"
"2025-07-24T14:20:00.000Z","5.29","5.30","5.28","5.29","-0.1587","-0.1558","239,831"
"2025-07-24T14:21:00.000Z","5.29","5.29","5.27","5.27","-0.2006","-0.1976","126,701"
"2025-07-24T14:22:00.000Z","5.27","5.28","5.27","5.27","-0.0739","-0.0710","129,602"
"2025-07-24T14:23:00.000Z","5.27","5.28","5.26","5.28","0.1518","0.1547","148,573"
"2025-07-24T14:24:00.000Z","5.27","5.29","5.27","5.28","-0.0739","-0.0710","275,897"
"2025-07-24T14:25:00.000Z","5.27","5.29","5.27","5.29","0.2825","0.2854","195,516"
"2025-07-24T14:26:00.000Z","5.28","5.29","5.28","5.28","-0.2817","-0.2787","64,792"
"2025-07-24T14:27:00.000Z","5.28","5.29","5.27","5.29","0.2711","0.2740","66,866"
"2025-07-24T14:28:00.000Z","5.29","5.29","5.27","5.28","-0.2704","-0.2674","118,903"
"2025-07-24T14:29:00.000Z","5.28","5.29","5.28","5.29","0.1896","0.1925","36,880"
"2025-07-24T14:30:00.000Z","5.29","5.32","5.28","5.30","0.3463","0.3492","328,257"
"2025-07-24T14:31:00.000Z","5.31","5.32","5.30","5.30","0.0321","0.0350","172,379"
"2025-07-24T14:32:00.000Z","5.31","5.32","5.30","5.31","0.1112","0.1141","202,704"
"2025-07-24T14:33:00.000Z","5.31","5.32","5.31","5.32","0.0772","0.0801","79,892"
"2025-07-24T14:34:00.000Z","5.32","5.32","5.31","5.32","","0.0029","107,952"
"2025-07-24T14:35:00.000Z","5.31","5.31","5.30","5.30","-0.1881","-0.1852","62,999"
"2025-07-24T14:36:00.000Z","5.31","5.32","5.31","5.32","0.1885","0.1914","59,607"
"2025-07-24T14:37:00.000Z","5.32","5.34","5.32","5.33","0.3763","0.3792","272,286"
"2025-07-24T14:38:00.000Z","5.34","5.35","5.33","5.34","0.1837","0.1866","171,090"
